_id,area_hydro,cat,city,cod,department,elevation,hi_subzone,hidro_zone,location.coordinates,location.type,name,state,stream,tech
620f13fedb317c8f7431d883,Amazonas,Climática Principal,Santander (Araracuara),44135020,Amazonas,118,Río Caqueta Bajo,Caquetá,"[-70.80375,-1.35166667]",Point,CAHUINARI - AUT [44135020],Suspendida,Amazonas,Automática con Telemetría
620f13fedb317c8f7431d884,Amazonas,Pluviométrica,La Pedrera,44187020,Amazonas,102,Río Caqueta Bajo,Caquetá,"[-69.59158333,-1.31316667]",Point,PEDRERA LA [44187020],Activa,Caqueta,Convencional
620f13fedb317c8f7431d885,Amazonas,Limnimétrica,Mirití-Paraná (Campoamor),44157020,Amazonas,116,Río Caqueta Bajo,Caquetá,"[-70.82,-1.31]",Point,MIRANAS LAS [44157020],Activa,Caqueta,Convencional
620f13fedb317c8f7431d886,Amazonas,Limnigráfica,La Pedrera,44197020,Amazonas,102,Río Caqueta Bajo,Caquetá,"[-69.61925,-1.30952778]",Point,VILLARREAL [44197020],Activa,Caqueta,Convencional
620f13fedb317c8f7431d887,Amazonas,Limnimétrica,La Pedrera,44187010,Amazonas,104,Río Caqueta Bajo,Caquetá,"[-69.7255,-1.28527778]",Point,PUERTO CORDOBA [44187010],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d888,Amazonas,Pluviométrica,Puerto Alegría,47040040,Amazonas,130,Río Putumayo Directos (mi),Putumayo,"[-73.61894444,-1.25894444]",Point,REMOLINO [47040040],Activa,Caqueta,Convencional
620f13fedb317c8f7431d889,Amazonas,Limnimétrica,La Pedrera,44187030,Amazonas,101,Río Caqueta Bajo,Caquetá,"[-69.47,-1.23]",Point,BACURI [44187030],Activa,Caqueta,Convencional
620f13fedb317c8f7431d88a,Amazonas,Limnimétrica,Santander (Araracuara),44167020,Amazonas,118,Río Caqueta Bajo,Caquetá,"[-71.12405556,-1.09808333]",Point,SANTA ISABEL [44167020],Activa,Caqueta,Convencional
620f13fedb317c8f7431d88b,Amazonas,Limnimétrica,Taraira,43017010,Vaupes,110,Bajo Río Apaporis,Apaporis,"[-69.5,-1.08333333]",Point,PARQUE CAPARU [43017010],Suspendida,Apaporis,Convencional
620f13fedb317c8f7431d88c,Amazonas,Limnimétrica,Puerto Alegría,47047020,Amazonas,135,Río Putumayo Directos (mi),Putumayo,"[-74.0685,-1.0495]",Point,PUERTO TOLOZA [47047020],Activa,Putumayo,Convencional
620f13fedb317c8f7431d88d,Amazonas,Limnimétrica,Cartagena Del Chairá,46077010,Caquetá,200,Río Caqueta Bajo,Caquetá,"[-71.77638889,-0.93277778]",Point,QUILLA LA   [46077010],Suspendida,Caguan,Convencional
620f13fedb317c8f7431d88e,Amazonas,Limnimétrica,Mirití-Paraná (Campoamor),44167010,Amazonas,125,Río Caqueta Bajo,Caquetá,"[-71.77658333,-0.93236111]",Point,QUINCHE [44167010],Activa,Caqueta,Convencional
620f13fedb317c8f7431d88f,Amazonas,Limnimétrica,La Chorrera,44137030,Amazonas,143,Río Cará-Paraná,Putumayo,"[-73.77322222,-0.91511111]",Point,PUERTO BELEN [44137030],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d890,Amazonas,Limnimétrica,Santander (Araracuara),44137070,Amazonas,133,Río Caqueta Bajo,Caquetá,"[-72.54999722,-0.7]",Point,MONOCHOA [44137070],Activa,Caqueta,Convencional
620f13fedb317c8f7431d891,Amazonas,Limnigráfica,Santander (Araracuara),44157010,Amazonas,123,Río Caqueta Bajo,Caquetá,"[-72.34475,-0.63844444]",Point,MERCEDES LAS [44157010],Activa,Caqueta,Convencional
620f13fedb317c8f7431d892,Amazonas,Limnimétrica,La Chorrera,44137040,Amazonas,137,Río Caqueta Medio,Caquetá,"[-73.19255556,-0.62833333]",Point,MONOS LOS [44137040],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d893,Amazonas,Limnimétrica,Solano,44147010,Caquetá,130,Río Caqueta Bajo,Caquetá,"[-72.38230556,-0.61736111]",Point,ARARACUARA [44147010],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d894,Amazonas,Limnimétrica,Santander (Araracuara),44137050,Amazonas,135,Río Caqueta Bajo,Caquetá,"[-72.96666667,-0.61666667]",Point,PUERTO ZABALO [44137050],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d895,Amazonas,Climática Principal,Solano,44135010,Caquetá,150,Río Caqueta Bajo,Caquetá,"[-72.38191667,-0.61636111]",Point,ARARACUARA [44135010],Activa,Caqueta,Convencional
620f13fedb317c8f7431d896,Amazonas,Limnimétrica,Solano,44137080,Caquetá,132,Río Caqueta Bajo,Caquetá,"[-72.47,-0.6]",Point,PUERTO LAS BRISAS [44137080],Activa,Caqueta,Convencional
620f13fedb317c8f7431d897,Amazonas,Limnimétrica,Santander (Araracuara),44137060,Amazonas,134,Río Caqueta Bajo,Caquetá,"[-72.72063889,-0.59094444]",Point,ANGOSTURAS[44137060],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d898,Amazonas,Pluviométrica,Santander (Araracuara),44150010,Amazonas,129,Río Caqueta Bajo,Caquetá,"[-72.14494444,-0.55988889]",Point,AGUAZUL [44150010],Activa,Caqueta,Convencional
620f13fedb317c8f7431d899,Amazonas,Limnimétrica,Puerto Alegría,47047010,Amazonas,140,Río Putumayo Directos (mi),Putumayo,"[-74.38666667,-0.55916667]",Point,EL REFUGIO - AMAZONAS [47047010],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d89a,Amazonas,Pluviométrica,Puerto Alegría,47040020,Amazonas,140,Río Putumayo Directos (mi),Putumayo,"[-74.38666667,-0.55916667]",Point,EL REFUGIO [47040020],Activa,0,Convencional
620f13fedb317c8f7431d89b,Amazonas,Pluviométrica,Solano,44140020,Caquetá,137,Río Caqueta Bajo,Caquetá,"[-73.04,-0.52]",Point,CUEMANI [44140020],En Mantenimiento,Caqueta,Convencional
620f13fedb317c8f7431d89c,Amazonas,Limnimétrica,Solano,44127010,Caquetá,139,Río Caqueta Medio,Caquetá,"[-73.53,-0.49]",Point,ESTRECHOS LOS [44127010],Activa,Caqueta,Convencional
620f13fedb317c8f7431d89d,Amazonas,Limnimétrica,Puerto Leguízamo,47017190,Putumayo,185,Río Putumayo Directos (mi),Putumayo,"[-74.57933333,-0.38769444]",Point,BELLAVISTA [47017190],Activa,Putumayo,Convencional
620f13fedb317c8f7431d89e,Amazonas,Limnimétrica,Puerto Leguízamo,44137020,Putumayo,145,Río Caqueta Medio,Caquetá,"[-74.01463889,-0.33891667]",Point,GUAQUIRA [44137020],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d89f,Amazonas,Pluviométrica,Puerto Leguízamo,47040010,Putumayo,147,Río Putumayo Directos (mi),Putumayo,"[-74.76666667,-0.2]",Point,BASE NAVAL LEGUIZA [47040010],Suspendida,Caqueta,Convencional
620f13fedb317c8f7431d8a0,Amazonas,Limnimétrica,Puerto Leguízamo,44127020,Putumayo,148,Río Caqueta Medio,Caquetá,"[-74.29,-0.2]",Point,UMANCIA [44127020],Activa,Caqueta,Convencional
620f13fedb317c8f7431d8a1,Amazonas,Limnigráfica,Puerto Leguízamo,47047050,Putumayo,147,Río Caqueta Medio,Caquetá,"[-74.78011111,-0.19972222]",Point,PUERTO LEGUIZAMO [47047050],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8a2,Amazonas,Climática Ordinaria,Puerto Leguízamo,47045010,Putumayo,147,Río Caqueta Medio,Caquetá,"[-74.77627778,-0.18061111]",Point,PUERTO LEGUIZAMO [47045010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8a3,Amazonas,Climática Principal,Puerto Leguízamo,47035030,Putumayo,194,Río Putumayo Medio,Putumayo,"[-74.89813889,-0.17372222]",Point,PNN LA PAYA - AUT [47035030],Suspendida,0,Automática con Telemetría
620f13fedb317c8f7431d8a4,Amazonas,Pluviométrica,Solano,44100010,Caquetá,152,Río Caqueta Medio,Caquetá,"[-74.55183333,-0.11497222]",Point,CORDOBA [44100010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8a5,Amazonas,Climática Principal,Solano,44135030,Caquetá,256,Río Mesay,Yarí,"[-72.45138889,-0.07416667]",Point,CHIRIBIQUETE - AUT [44135030],Suspendida,Amazonas,Automática con Telemetría
620f13fedb317c8f7431d8a6,Amazonas,Agrometeorológica,Puerto Leguízamo,44115020,Putumayo,153,Río Caqueta Medio,Caquetá,"[-74.66522222,-0.06075]",Point,TAGUA LA [44115020],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8a7,Amazonas,Limnigráfica,Puerto Leguízamo,44117010,Putumayo,153,Río Caqueta Medio,Caquetá,"[-74.66694444,-0.05747222]",Point,TAGUA LA [44117010],Activa,Caqueta,Convencional
620f13fedb317c8f7431d8a8,Amazonas,Pluviométrica,Puerto Leguízamo,47030020,Putumayo,195,Río Putumayo Medio,Putumayo,"[-75.62972222,0.04694444]",Point,CONCEPCION [47030020],Activa,Caqueta,Convencional
620f13fedb317c8f7431d8a9,Amazonas,Limnimétrica,Puerto Leguízamo,47037030,Putumayo,155,Río Putumayo Medio,Putumayo,"[-75.86666667,0.11666667]",Point,CHIPAROS LOS [47037030],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d8aa,Amazonas,Climática Ordinaria,Puerto Leguízamo,47035020,Putumayo,190,Río Putumayo Medio,Putumayo,"[-75.85111111,0.13286111]",Point,PUERTO OSPINA [47035020],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8ab,Amazonas,Pluviométrica,San Miguel (La Dorada),47020010,Putumayo,500,Río San_Miguel,Putumayo,"[-76.92725,0.27927778]",Point,SAN MIGUEL [47020010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8ac,Amazonas,Pluviométrica,Puerto Leguízamo,47030030,Putumayo,195,Río Putumayo Medio,Putumayo,"[-76.07825,0.33811111]",Point,SAN JOAQUIN [47030030],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8ad,Amazonas,Climática Ordinaria,Puerto Asís,47035010,Putumayo,200,Río Putumayo Medio,Putumayo,"[-76.16666667,0.38333333]",Point,PINUNA BLANCA [47035010],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d8ae,Amazonas,Limnimétrica,Puerto Asís,47017200,Putumayo,245,Alto Río Putumayo,Putumayo,"[-76.39680556,0.38433333]",Point,NARANJOS LOS [47017200],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8af,Amazonas,Pluviométrica,Puerto Asís,47030010,Putumayo,200,Río Putumayo Medio,Putumayo,"[-76.33613889,0.39541667]",Point,ANGOSTURAS [47030010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8b0,Amazonas,Limnigráfica,Puerto Asís,44017100,Putumayo,200,Río Putumayo Medio,Putumayo,"[-76.33613889,0.39541667]",Point,ANGOSTURAS - RÍO PUTUMAYO [44017100],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d8b1,Amazonas,Pluviométrica,Puerto Asís,47010030,Putumayo,260,Alto Río Putumayo,Putumayo,"[-76.48022222,0.47361111]",Point,PUERTO ASIS [47010030],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8b2,Amazonas,Limnimétrica,Puerto Asís,47017010,Putumayo,200,Alto Río Putumayo,Putumayo,"[-76.48125,0.47363889]",Point,MUELLE EL [47017010],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8b3,Amazonas,Pluviométrica,Valle Del Guamuez (La Hormiga),47020020,Putumayo,500,Río San_Miguel,Putumayo,"[-77.09972222,0.47697222]",Point,CHURUYACO [47020020],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8b4,Amazonas,Pluviométrica,Valle Del Guamuez (La Hormiga),47020030,Putumayo,500,Alto Río Putumayo,Putumayo,"[-76.81666667,0.48333333]",Point,TIGRE EL [47020030],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d8b5,Amazonas,Limnigráfica,Orito,47017170,Putumayo,360,Alto Río Putumayo,Putumayo,"[-76.83597222,0.48922222]",Point,PICUDO EL [47017170],Activa,Guamues,Convencional
620f13fedb317c8f7431d8b6,Amazonas,Pluviométrica,Orito,47010220,Putumayo,385,Alto Río Putumayo,Putumayo,"[-76.83627778,0.48972222]",Point,EL PICUDO [47010220],Activa,Guamues,Convencional
620f13fedb317c8f7431d8b7,Amazonas,Climática Ordinaria,Puerto Asís,47015050,Putumayo,260,Alto Río Putumayo,Putumayo,"[-76.51666667,0.5]",Point,PUERTO ASIS [47015050],Suspendida,Guamues,Convencional
620f13fedb317c8f7431d8b8,Amazonas,Sinóptica Principal,Puerto Asís,47015020,Putumayo,254,Alto Río Putumayo,Putumayo,"[-76.5,0.5]",Point,AEROPUERTO PUERTO ASIS [47015020],Suspendida,Amazonas,Convencional
620f13fedb317c8f7431d8b9,Amazonas,Limnigráfica,Puerto Asís,47017160,Putumayo,250,Alto Río Putumayo,Putumayo,"[-76.57694444,0.58269444]",Point,PUENTE TEXAS [47017160],Activa,Putumayo,Automática sin Telemetría
620f13fedb317c8f7431d8ba,Amazonas,Climática Ordinaria,Cartagena Del Chairá,46045010,Caquetá,200,Río Caguan Bajo,Caguán,"[-74.41666667,0.6]",Point,REMOLINOS D CAGUAN [46045010],Suspendida,Putumayo,Convencional
620f13fedb317c8f7431d8bb,Amazonas,Limnimétrica,Solano,44147020,Caquetá,137,Río Cuñare,Yarí,"[-72.38,0.62]",Point,CUEMANI [44147020],Activa,Caqueta,Convencional
620f13fedb317c8f7431d8bc,Amazonas,Pluviométrica,Puerto Caicedo,47010110,Putumayo,300,Alto Río Putumayo,Putumayo,"[-76.60516667,0.68591667]",Point,PUERTO CAICEDO [47010110],Activa,Putumayo,Convencional
620f13fedb317c8f7431d8bd,Amazonas,Climática Principal,Solano,44055010,Caquetá,219,Río Orteguaza,Caquetá,"[-75.23611111,0.7375]",Point,TRES ESQUINAS,Activa,0,Automática con Telemetría
620f13fedb317c8f7431d8be,Amazonas,Limnigráfica,Villagarzón,47017150,Putumayo,350,Alto Río Putumayo,Putumayo,"[-76.57930556,0.78875]",Point,JOYA LA [47017150],Activa,Guineo,Convencional
620f13fedb317c8f7431d8bf,Amazonas,Climática Ordinaria,Puerres,47015080,Nariño,1776,Alto Río Putumayo,Putumayo,"[-77.30361111,0.80491667]",Point,MONOPAMBA [47015080],Activa,Guineo,Convencional
620f13fedb317c8f7431d8c0,Amazonas,Limnigráfica,Puerres,47017110,Nariño,1650,Alto Río Putumayo,Putumayo,"[-77.30694444,0.80777778]",Point,MONOPAMBA  - AUT [47017110],Activa,Sucio,Automática con Telemetría
620f13fedb317c8f7431d8c1,Pacifico,Pluviométrica,Cumbal,52050130,Nariño,3100,Río Guáitara,Patía,"[-77.84833333,0.81166667]",Point,CHILES [52050130],Activa,Sucio,Convencional
620f13fedb317c8f7431d8c2,Pacifico,Limnigráfica,Ipiales,52057100,Nariño,2582,Río Guáitara,Patía,"[-77.66197778,0.81378611]",Point,RUMICHACA - AUT [52057100],Activa,Guaitara,Automática con Telemetría
620f13fedb317c8f7431d8c3,Pacifico,Pluviométrica,Potosí,52050190,Nariño,2746,Río Guáitara,Patía,"[-77.56852778,0.81625]",Point,SANTA ROSA POTOSI [52050190],Activa,Sucio,Convencional
620f13fedb317c8f7431d8c4,Pacifico,Limnimétrica,Potosí,52057070,Nariño,30,Río Guáitara,Patía,"[-77.55,0.81666667]",Point,BOQUERON [52057070],Suspendida,Yamuesquer,Convencional
620f13fedb317c8f7431d8c5,Amazonas,Climática Ordinaria,Villagarzón,47015070,Putumayo,362,Alto Río Putumayo,Putumayo,"[-76.57044444,0.83897222]",Point,PUERTO UMBRIA [47015070],Activa,0,Convencional
620f13fedb317c8f7431d8c6,Pacifico,Climática Principal,Puerres,52055150,Nariño,3585,Río Guáitara,Patía,"[-77.38880556,0.84311111]",Point,CERRO PARAMO  - AUT [52055150],Activa,0,Automática con Telemetría
620f13fedb317c8f7431d8c7,Pacifico,Limnigráfica,Cuaspud (Carlosama),52057040,Nariño,2920,Río Guáitara,Patía,"[-77.68588889,0.84416667]",Point,CARLOSAMA [52057040],Activa,Blanco,Convencional
620f13fedb317c8f7431d8c8,Pacifico,Climática Principal,Cumbal,52055160,Nariño,442,Río San Juan (Frontera Ecuador),Mira,"[-77.92122222,0.84658333]",Point,VOLCAN CHILES  - AUT [52055160],Activa,0,Automática con Telemetría
620f13fedb317c8f7431d8c9,Amazonas,Limnimétrica,Mitú,42057010,Vaupes,200,Bajo Vaupés,Vaupes,"[-71.01,0.85]",Point,YURUPARI [42057010],Activa,Vaupes,Convencional
620f13fedb317c8f7431d8ca,Pacifico,Sinóptica Principal,Aldana,52055230,Nariño,2961,Río Guáitara,Patía,"[-77.67775,0.85708333]",Point,AEROPUERTO SAN LUIS - AUT [52055230],Activa,Vaupes,Automática con Telemetría
620f13fedb317c8f7431d8cb,Amazonas,Pluviométrica,Carurú,42040010,Vaupes,200,Bajo Vaupés,Vaupes,"[-71.04,0.87]",Point,YURUPARI [42040010],Activa,0,Convencional
620f13fedb317c8f7431d8cc,Amazonas,Limnigráfica,Pasto,47017130,Nariño,1550,Alto Río Putumayo,Putumayo,"[-77.15,0.88333333]",Point,JOYAS LAS [47017130],Suspendida,Guamues,Convencional
620f13fedb317c8f7431d8cd,Pacifico,Pluviométrica,Puerres,52050120,Nariño,2817,Río Guáitara,Patía,"[-77.50291667,0.88825]",Point,PUERRES [52050120],Activa,Guamues,Convencional
620f13fedb317c8f7431d8ce,Amazonas,Pluviométrica,Villagarzón,47010120,Putumayo,320,Alto Río Putumayo,Putumayo,"[-76.56666667,0.9]",Point,PUERTO UMBRIA [47010120],Suspendida,Guamues,Convencional
620f13fedb317c8f7431d8cf,Amazonas,Limnimétrica,Mitú,42067010,Vaupes,195,Bajo Vaupés,Vaupes,"[-70.77,0.9]",Point,LOS CERROS [42067010],Activa,Vaupes,Convencional
620f13fedb317c8f7431d8d0,Pacifico,Pluviométrica,Gualmatán,52050100,Nariño,2830,Río Guáitara,Patía,"[-77.58138889,0.90666667]",Point,GUALMATAN [52050100],Activa,Vaupes,Convencional
620f13fedb317c8f7431d8d1,Pacifico,Pluviométrica,Cumbal,52050110,Nariño,392,Río Guáitara,Patía,"[-77.78711111,0.908]",Point,CUMBAL [52050110],Activa,Qda La Mosca,Convencional
620f13fedb317c8f7431d8d2,Amazonas,Pluviométrica,Mitú,42060010,Vaupes,195,Bajo Vaupés,Vaupes,"[-70.78,0.91]",Point,LOS CERROS [42060010],Activa,0,Convencional
620f13fedb317c8f7431d8d3,Pacifico,Climática Principal,Contadero,52055170,Nariño,2450,Río Guáitara,Patía,"[-77.49119444,0.93030556]",Point,LA JOSEFINA - AUT [52055170],Activa,Guaitara,Automática con Telemetría
620f13fedb317c8f7431d8d4,Pacifico,Climática Ordinaria,Pupiales,52045090,Nariño,3141,Río Guáitara,Patía,"[-77.62958333,0.93263889]",Point,EL COMUN [52045090],Activa,0,Convencional
620f13fedb317c8f7431d8d5,Amazonas,Climática Ordinaria,Yavaraté  (Cor. Departamental),42105010,Vaupes,183,Bajo Vaupés,Vaupes,"[-69.83333333,0.93333333]",Point,INMAR [42105010],Suspendida,Qda La Mosca,Convencional
620f13fedb317c8f7431d8d6,Amazonas,Pluviométrica,Puerto Guzmán,44010080,Putumayo,500,Alto Caqueta,Caquetá,"[-76.44136111,0.96155556]",Point,SANTA LUCIA [44010080],Activa,Qda La Mosca,Convencional
620f13fedb317c8f7431d8d7,Amazonas,Limnigráfica,Pasto,47017020,Nariño,2850,Alto Río Putumayo,Putumayo,"[-77.15722222,0.98972222]",Point,LA COCHA [47017020],Activa,Guamues,Convencional
